file name,n objects,object class,width,height,xmin,ymin,xmax,ymax
2007_000027,1,person,486,500,174,101.0,349,351
2007_000032,4,aeroplane,500,281,104,78.0,375,183
2007_000032,4,aeroplane,500,281,133,88.0,197,123
2007_000032,4,person,500,281,195,180.0,213,229
2007_000032,4,person,500,281,26,189.0,44,238
2007_000033,3,aeroplane,500,366,9,107.0,499,263
2007_000033,3,aeroplane,500,366,421,200.0,482,226
2007_000033,3,aeroplane,500,366,325,188.0,411,223
2007_000039,1,tvmonitor,500,375,156,89.0,344,279
2007_000042,2,train,500,335,263,32.0,500,295
2007_000042,2,train,500,335,1,36.0,235,299
2007_000061,2,boat,500,333,274,11.0,437,279
2007_000061,2,boat,500,333,184,214.0,281,252
2007_000063,2,dog,500,375,123,115.0,379,275
2007_000063,2,chair,500,375,75,1.0,428,375
2007_000068,1,bird,500,375,27,45.0,266,375
2007_000121,2,tvmonitor,500,375,251,28.0,475,267
2007_000121,2,tvmonitor,500,375,22,28.0,251,273
2007_000123,1,train,500,375,1,26.0,358,340
2007_000129,6,bicycle,334,500,70,202.0,255,500
2007_000129,6,bicycle,334,500,251,242.0,334,500
2007_000129,6,bicycle,334,500,1,144.0,67,436
2007_000129,6,person,334,500,1,1.0,66,363
2007_000129,6,person,334,500,74,1.0,272,462
2007_000129,6,person,334,500,252,19.0,334,487
2007_000170,6,bottle,500,375,87,100.0,109,165
2007_000170,6,bottle,500,375,41,114.0,73,181
2007_000170,6,bottle,500,375,324,148.0,352,206
2007_000170,6,bottle,500,375,426,157.0,443,195
2007_000170,6,person,500,375,3,91.0,43,206
2007_000170,6,person,500,375,4,28.0,461,372
2007_000175,1,sheep,500,332,25,34.0,419,271
2007_000187,1,tvmonitor,500,375,1,95.0,240,336
2007_000241,3,boat,500,375,356,183.0,500,280
2007_000241,3,boat,500,375,60,109.0,142,213
2007_000241,3,boat,500,375,246,134.0,348,217
2007_000243,1,aeroplane,500,333,181,127.0,274,193
2007_000250,2,diningtable,500,375,1,170.0,474,375
2007_000250,2,bottle,500,375,97,124.0,150,297
2007_000256,1,aeroplane,500,343,8,96.0,491,232
2007_000272,1,person,333,500,25,71.0,304,500
2007_000323,2,person,500,375,277,3.0,500,375
2007_000323,2,person,500,375,12,3.0,305,375
2007_000332,1,horse,500,333,54,50.0,285,262
2007_000333,1,train,500,333,1,39.0,367,270
2007_000346,4,bottle,500,375,124,107.0,230,343
2007_000346,4,person,500,375,137,78.0,497,375
2007_000346,4,person,500,375,89,202.0,129,247
2007_000346,4,person,500,375,72,209.0,111,259
2007_000363,2,bird,500,333,59,15.0,220,239
2007_000363,2,bird,500,333,161,122.0,500,333
2007_000364,3,motorbike,500,375,54,25.0,454,315
2007_000364,3,motorbike,500,375,318,37.0,489,161
2007_000364,3,person,500,375,369,1.0,458,130
2007_000392,2,horse,500,332,100,96.0,355,324
2007_000392,2,person,500,332,198,58.0,286,197
2007_000423,2,person,500,375,51,80.0,122,266
2007_000423,2,person,500,375,367,92.0,461,315
2007_000452,2,sofa,500,375,50,121.0,295,338
2007_000452,2,chair,500,375,474,140.0,500,284
2007_000464,2,cow,375,500,71,252.0,216,314
2007_000464,2,cow,375,500,58,202.0,241,295
2007_000480,4,person,500,375,293,162.0,419,375
2007_000480,4,person,500,375,114,165.0,228,373
2007_000480,4,person,500,375,5,172.0,116,373
2007_000480,4,aeroplane,500,375,2,68.0,486,325
2007_000491,1,cow,500,334,2,2.0,459,334
2007_000504,4,cow,500,412,341,102.0,500,406
2007_000504,4,person,500,412,36,34.0,79,123
2007_000504,4,person,500,412,2,44.0,36,120
2007_000504,4,person,500,412,29,42.0,41,64
2007_000515,4,bicycle,500,375,1,199.0,40,293
2007_000515,4,person,500,375,1,85.0,29,279
2007_000515,4,car,500,375,64,164.0,151,210
2007_000515,4,car,500,375,147,167.0,186,200
2007_000528,1,cat,500,375,124,68.0,319,310
2007_000529,2,boat,500,375,290,143.0,500,250
2007_000529,2,car,500,375,422,237.0,461,255
2007_000549,1,cat,375,500,1,49.0,341,499
2007_000559,2,bottle,500,370,36,250.0,79,354
2007_000559,2,tvmonitor,500,370,160,26.0,371,241
2007_000572,2,bicycle,500,331,1,178.0,235,331
2007_000572,2,bicycle,500,331,8,134.0,226,297
2007_000584,2,bicycle,500,375,31,74.0,369,346
2007_000584,2,sofa,500,375,344,207.0,500,374
2007_000629,2,train,500,230,34,84.0,500,184
2007_000629,2,person,500,230,87,100.0,107,124
2007_000636,1,train,500,335,79,96.0,392,300
2007_000645,2,bird,500,375,135,46.0,500,374
2007_000645,2,bird,500,375,124,146.0,365,375
